trick_number,trick_name,stance,part,caption_seconds,family,subfamily,modifiers,sibling_key,youtube_url
523,old school inward heel,Regular,6,92.6,Heelflips,Inward Heel,Old School,old school inward heel,https://www.youtube.com/watch?v=GLpC3pRebuI
524,switch double heel body varial,Switch,6,99.2,Heelflips,Heelflip,Body Varial|Double,double heel body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
525,switch late heelflip,Switch,6,101.9,Heelflips,Heelflip,Late,late heelflip,https://www.youtube.com/watch?v=GLpC3pRebuI
526,switch shuv late varial flip,Switch,6,106.8,Shuv-its,Shuv-it,Late,shuv late varial flip,https://www.youtube.com/watch?v=GLpC3pRebuI
527,kickback,Regular,6,112.5,Kickback,None,,kickback,https://www.youtube.com/watch?v=GLpC3pRebuI
528,frontside kickback,Regular,6,117.2,Kickback,None,Frontside,frontside kickback,https://www.youtube.com/watch?v=GLpC3pRebuI
529,fakie kickback shuv,Fakie,6,119.6,Kickback,None,,kickback shuv,https://www.youtube.com/watch?v=GLpC3pRebuI
530,underflip,Regular,6,121.6,Kickflips,None,Underflip,underflip,https://www.youtube.com/watch?v=GLpC3pRebuI
531,under varial heel,Regular,6,130.7,Heelflips,None,Underflip,under varial heel,https://www.youtube.com/watch?v=GLpC3pRebuI
532,360 triple flip body varial,Regular,6,138.3,Kickflips,360 Flip / Tre,Body Varial|Triple|360,360 triple flip body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
533,cancel heel body varial,Regular,6,144.2,Heelflips,Heelflip,Late|Cancel|Body Varial,cancel heel body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
534,pressure double kickflip,Regular,6,148.7,Kickflips,Kickflip,Pressure|Double,pressure double kickflip,https://www.youtube.com/watch?v=GLpC3pRebuI
535,switch pressure kickflip body varial,Switch,6,153.3,Kickflips,Kickflip,Pressure|Body Varial,pressure kickflip body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
536,nollie pressure backside flip,Nollie,6,157.6,Kickflips,Kickflip,Pressure|Backside,pressure backside flip,https://www.youtube.com/watch?v=GLpC3pRebuI
537,late frontside 360 shuv,Regular,6,163.6,Shuv-its,Shuv-it,Late|Frontside|360,late frontside 360 shuv,https://www.youtube.com/watch?v=GLpC3pRebuI
538,late frontside heel,Regular,6,172.7,Heelflips,Heelflip,Late|Frontside,late frontside heel,https://www.youtube.com/watch?v=GLpC3pRebuI
539,late double heel,Regular,6,179.1,Heelflips,Heelflip,Late|Double,late double heel,https://www.youtube.com/watch?v=GLpC3pRebuI
540,fakie flip late heel,Fakie,6,188.5,Kickflips,Kickflip,Late,flip late heel,https://www.youtube.com/watch?v=GLpC3pRebuI
541,fakie pressure frontside flip,Fakie,6,192.2,Kickflips,Kickflip,Pressure|Frontside,pressure frontside flip,https://www.youtube.com/watch?v=GLpC3pRebuI
542,frontside gazelle heel,Regular,6,195.2,Shuv-its,Gazelle,Frontside|Body Varial,frontside gazelle heel,https://www.youtube.com/watch?v=GLpC3pRebuI
543,fakie biggerspin underflip,Fakie,6,201.3,Shuv-its,Biggerspin,Underflip,biggerspin underflip,https://www.youtube.com/watch?v=GLpC3pRebuI
544,fakie 360 shuv underflip body varial,Fakie,6,205.6,Shuv-its,Shuv-it,Body Varial|360|Underflip,360 shuv underflip body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
545,360 shuv underflip 360 body varial,Regular,6,210.4,Shuv-its,Shuv-it,Body Varial|360|Underflip,360 shuv underflip 360 body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
546,fakie late varial heel,Fakie,6,213.1,Heelflips,Varial Heel,Late,late varial heel,https://www.youtube.com/watch?v=GLpC3pRebuI
547,fakie kickback,Fakie,6,218,Kickback,None,,kickback,https://www.youtube.com/watch?v=GLpC3pRebuI
