trick_number,trick_name,stance,part,caption_seconds,family,subfamily,modifiers,sibling_key,youtube_url
64,switch frontside bigspin,Switch,1,238,Shuv-its,Bigspin,Frontside,frontside bigspin,https://www.youtube.com/watch?v=8bxg4YCo2RE
65,varial heelflip,Regular,1,240,Heelflips,Varial Heel,,varial heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
66,fakie varial heelflip,Fakie,1,242,Heelflips,Varial Heel,,varial heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
67,nollie varial heelflip,Nollie,1,244,Heelflips,Varial Heel,,varial heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
68,switch varial heelflip,Switch,1,247,Heelflips,Varial Heel,,varial heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
69,inward heelflip,Regular,1,249,Heelflips,Inward Heel,,inward heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
70,fakie inward heelflip,Fakie,1,252,Heelflips,Inward Heel,,inward heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
71,nollie inward heelflip,Nollie,1,254,Heelflips,Inward Heel,,inward heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
72,switch inward heelflip,Switch,1,257,Heelflips,Inward Heel,,inward heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
73,hardflip,Regular,1,259,Kickflips,Hardflip,,hardflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
74,nollie hardflip,Nollie,1,261,Kickflips,Hardflip,,hardflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
75,fakie hardflip,Fakie,1,264,Kickflips,Hardflip,,hardflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
76,switch hardflip,Switch,1,266,Kickflips,Hardflip,,hardflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
77,360 backside shuv,Regular,1,269,Shuv-its,Shuv-it,Backside|360,360 backside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
78,fakie 360 backside shuv,Fakie,1,272,Shuv-its,Shuv-it,Backside|360,360 backside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
79,nollie 360 frontside shuv,Nollie,1,274,Shuv-its,Shuv-it,Frontside|360,360 frontside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
80,switch 360 backside shuv,Switch,1,276,Shuv-its,Shuv-it,Backside|360,360 backside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
81,360 frontside shuv,Regular,1,279,Shuv-its,Shuv-it,Frontside|360,360 frontside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
82,fakie 360 frontside shuv,Fakie,1,281,Shuv-its,Shuv-it,Frontside|360,360 frontside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
83,nollie 360 backside shuv,Nollie,1,284,Shuv-its,Shuv-it,Backside|360,360 backside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
84,switch 360 frontside shuv,Switch,1,286,Shuv-its,Shuv-it,Frontside|360,360 frontside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
85,frontside 360,Regular,1,288,Ollie / Spins,None,Frontside|360,frontside 360,https://www.youtube.com/watch?v=8bxg4YCo2RE
86,backside 360,Regular,1,291,Ollie / Spins,None,Backside|360,backside 360,https://www.youtube.com/watch?v=8bxg4YCo2RE
87,fakie frontside 360,Fakie,1,293,Ollie / Spins,None,Frontside|360,frontside 360,https://www.youtube.com/watch?v=8bxg4YCo2RE
88,fakie backside 360,Fakie,1,296,Ollie / Spins,None,Backside|360,backside 360,https://www.youtube.com/watch?v=8bxg4YCo2RE
89,switch frontside 360,Switch,1,300,Ollie / Spins,None,Frontside|360,frontside 360,https://www.youtube.com/watch?v=8bxg4YCo2RE
90,nollie backside 360,Nollie,1,302,Ollie / Spins,None,Backside|360,backside 360,https://www.youtube.com/watch?v=8bxg4YCo2RE
91,nollie frontside 360,Nollie,1,305,Ollie / Spins,None,Frontside|360,frontside 360,https://www.youtube.com/watch?v=8bxg4YCo2RE
92,switch backside 360,Switch,1,307,Ollie / Spins,None,Backside|360,backside 360,https://www.youtube.com/watch?v=8bxg4YCo2RE
93,frontside bigspin heelflip,Regular,1,310,Heelflips,Big Heel,Frontside,frontside bigspin heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
94,fakie frontside bigspin heelflip,Fakie,1,313,Heelflips,Big Heel,Frontside,frontside bigspin heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
95,nollie backside bigspin heelflip,Nollie,1,315,Heelflips,Big Heel,Backside,backside bigspin heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
96,switch frontside bigspin heelflip,Switch,1,317,Heelflips,Big Heel,Frontside,frontside bigspin heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
97,lazer flip,Regular,1,320,Heelflips,Lazer,,lazer flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
98,fakie lazer flip,Fakie,1,322,Heelflips,Lazer,,lazer flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
99,nollie lazer flip,Nollie,1,324,Heelflips,Lazer,,lazer flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
100,switch lazer flip,Switch,1,327,Heelflips,Lazer,,lazer flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
101,backside biggerspin,Regular,2,18,Shuv-its,Biggerspin,Backside,backside biggerspin,https://www.youtube.com/watch?v=mN6_vgbRD7Y
102,fakie backside biggerspin,Fakie,2,20,Shuv-its,Biggerspin,Backside,backside biggerspin,https://www.youtube.com/watch?v=mN6_vgbRD7Y
103,540 backside shuv,Regular,2,22,Shuv-its,Shuv-it,Backside|540,540 backside shuv,https://www.youtube.com/watch?v=mN6_vgbRD7Y
104,fakie 540 backside shuv,Fakie,2,24,Shuv-its,Shuv-it,Backside|540,540 backside shuv,https://www.youtube.com/watch?v=mN6_vgbRD7Y
105,fakie 540 backside shuv 180,Fakie,2,25,Shuv-its,Shuv-it,Backside|180|540,540 backside shuv 180,https://www.youtube.com/watch?v=mN6_vgbRD7Y
106,540 flip,Regular,2,29,Kickflips,360 Flip / Tre,540,540 flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
107,fakie 540 flip,Fakie,2,31,Kickflips,360 Flip / Tre,540,540 flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
108,fakie backside biggerspin flip,Fakie,2,35,Kickflips,Bigflip,Backside,backside biggerspin flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
109,backside biggerspin flip,Regular,2,41,Kickflips,Bigflip,Backside,backside biggerspin flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
110,fakie backside gazelle spin,Fakie,2,43,Shuv-its,Gazelle,Backside|Body Varial,backside gazelle spin,https://www.youtube.com/watch?v=mN6_vgbRD7Y
111,backside gazelle flip,Regular,2,45,Shuv-its,Gazelle,Backside|Body Varial,backside gazelle flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
112,fakie backside gazelle flip,Fakie,2,47,Shuv-its,Gazelle,Backside|Body Varial,backside gazelle flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
113,fakie backside 360 shuv frontside body varial,Fakie,2,49,Shuv-its,Shuv-it,Body Varial|Frontside|Backside|360,backside 360 shuv frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
114,360 inward heelflip,Regular,2,51,Heelflips,Inward Heel,360,360 inward heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
115,backside 360 shuv frontside body varial,Regular,2,53,Shuv-its,Shuv-it,Body Varial|Frontside|Backside|360,backside 360 shuv frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
116,pressure flip,Regular,2,55,Kickflips,Kickflip,Pressure,pressure flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
117,fakie pressure flip,Fakie,2,57,Kickflips,Kickflip,Pressure,pressure flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
118,switch pressure flip,Switch,2,59,Kickflips,Kickflip,Pressure,pressure flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
119,nollie pressure flip,Nollie,2,60,Kickflips,Kickflip,Pressure,pressure flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
120,forward flip,Regular,2,62,Forward / Dolphin,Forward,,forward flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
121,fakie frontside impossible bigspin,Fakie,2,63,Impossible,None,Frontside,frontside impossible bigspin,https://www.youtube.com/watch?v=mN6_vgbRD7Y
122,double kickflip,Regular,2,65,Kickflips,Kickflip,Double,double kickflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
123,fakie double kickflip,Fakie,2,67,Kickflips,Kickflip,Double,double kickflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
124,switch double kickflip,Switch,2,68,Kickflips,Kickflip,Double,double kickflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
125,nollie double kickflip,Nollie,2,70,Kickflips,Kickflip,Double,double kickflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
126,double heelflip,Regular,2,72,Heelflips,Heelflip,Double,double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
127,fakie double heelflip,Fakie,2,74,Heelflips,Heelflip,Double,double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
128,switch double heelflip,Switch,2,76,Heelflips,Heelflip,Double,double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
129,nollie double heelflip,Nollie,2,77,Heelflips,Heelflip,Double,double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
130,switch frontside 360 half front foot impossible,Switch,2,80,Impossible,None,Half|Front Foot|Frontside|360,frontside 360 half front foot impossible,https://www.youtube.com/watch?v=mN6_vgbRD7Y
131,kickflip frontside body varial,Regular,2,85,Kickflips,Kickflip,Body Varial|Frontside,kickflip frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
132,kickflip backside body varial,Regular,2,86,Kickflips,Kickflip,Body Varial|Backside,kickflip backside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
133,fakie kickflip backside body varial,Fakie,2,88,Kickflips,Kickflip,Body Varial|Backside,kickflip backside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
134,fakie kickflip frontside body varial,Fakie,2,89,Kickflips,Kickflip,Body Varial|Frontside,kickflip frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
135,switch kickflip frontside body varial,Switch,2,91,Kickflips,Kickflip,Body Varial|Frontside,kickflip frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
136,switch kickflip backside body varial,Switch,2,93,Kickflips,Kickflip,Body Varial|Backside,kickflip backside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
137,nollie kickflip backside body varial,Nollie,2,95,Kickflips,Kickflip,Body Varial|Backside,kickflip backside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
138,nollie kickflip frontside body varial,Nollie,2,97,Kickflips,Kickflip,Body Varial|Frontside,kickflip frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
139,pressure heelflip,Regular,2,99,Heelflips,Heelflip,Pressure,pressure heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
140,pressure heelflip frontside body varial,Regular,2,100,Heelflips,Heelflip,Pressure|Body Varial|Frontside,pressure heelflip frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
141,backside pressure heelflip,Regular,2,102,Heelflips,Heelflip,Pressure|Backside,backside pressure heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
142,pressure kickflip,Regular,2,104,Kickflips,Kickflip,Pressure,pressure kickflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
143,pressure double flip,Regular,2,106,Kickflips,Kickflip,Pressure|Double,pressure double flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
144,frontside impossible,Regular,2,107,Impossible,None,Frontside,frontside impossible,https://www.youtube.com/watch?v=mN6_vgbRD7Y
145,fakie forward flip,Fakie,2,112,Forward / Dolphin,Forward,,forward flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
146,forward double flip,Regular,2,114,Forward / Dolphin,Forward,Double,forward double flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
147,fakie forward double flip,Fakie,2,115,Forward / Dolphin,Forward,Double,forward double flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
148,varial double flip,Regular,2,117,Kickflips,Varial Flip,Double,varial double flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
149,varial triple flip,Regular,2,118,Kickflips,Varial Flip,Triple,varial triple flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
150,fakie varial double flip,Fakie,2,121,Kickflips,Varial Flip,Double,varial double flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
151,fakie varial triple flip,Fakie,2,123,Kickflips,Varial Flip,Triple,varial triple flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
152,varial double heelflip,Regular,2,128,Heelflips,Varial Heel,Double,varial double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
153,fakie varial double heelflip,Fakie,2,130,Heelflips,Varial Heel,Double,varial double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
154,360 pressure flip,Regular,2,132,Kickflips,Kickflip,Pressure|360,360 pressure flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
155,backside bigspin pressure flip,Regular,2,134,Kickflips,Bigflip,Pressure|Backside,backside bigspin pressure flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
156,inward double heelflip,Regular,2,136,Heelflips,Inward Heel,Double,inward double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
157,hard double flip,Regular,2,138,Kickflips,Hardflip,Double,hard double flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
158,fakie hard double flip,Fakie,2,141,Kickflips,Hardflip,Double,hard double flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
159,impossible,Regular,2,143,Impossible,None,,impossible,https://www.youtube.com/watch?v=mN6_vgbRD7Y
160,fakie impossible,Fakie,2,145,Impossible,None,,impossible,https://www.youtube.com/watch?v=mN6_vgbRD7Y
161,switch impossible,Switch,2,147,Impossible,None,,impossible,https://www.youtube.com/watch?v=mN6_vgbRD7Y
162,nollie impossible,Nollie,2,149,Impossible,None,,impossible,https://www.youtube.com/watch?v=mN6_vgbRD7Y
163,backside half impossible bigspin,Regular,2,151,Impossible,None,Half|Backside,backside half impossible bigspin,https://www.youtube.com/watch?v=mN6_vgbRD7Y
164,feather flip,Regular,2,153,Feather,None,,feather flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
165,fakie feather flip,Fakie,2,155,Feather,None,,feather flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
166,switch feather flip,Switch,2,157,Feather,None,,feather flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
167,nollie feather flip,Nollie,2,159,Feather,None,,feather flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
168,feather flip frontside 180,Regular,2,163,Feather,None,Frontside|180,feather flip frontside 180,https://www.youtube.com/watch?v=mN6_vgbRD7Y
169,backside double kickflip,Regular,2,167,Kickflips,Kickflip,Double|Backside,backside double kickflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
170,fakie backside double kickflip,Fakie,2,169,Kickflips,Kickflip,Double|Backside,backside double kickflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
171,backside double heelflip,Regular,2,171,Heelflips,Heelflip,Double|Backside,backside double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
172,fakie backside double heelflip,Fakie,2,174,Heelflips,Heelflip,Double|Backside,backside double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
173,frontside double kickflip,Regular,2,179,Kickflips,Kickflip,Double|Frontside,frontside double kickflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
174,fakie frontside biggerspin,Fakie,2,181,Shuv-its,Biggerspin,Frontside,frontside biggerspin,https://www.youtube.com/watch?v=mN6_vgbRD7Y
175,fakie frontside double kickflip,Fakie,2,184,Kickflips,Kickflip,Double|Frontside,frontside double kickflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
176,fakie frontside double heelflip,Fakie,2,186,Heelflips,Heelflip,Double|Frontside,frontside double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
177,fakie frontside 360 heelflip,Fakie,2,188,Heelflips,Heelflip,Frontside|360,frontside 360 heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
178,frontside double heelflip,Regular,2,194,Heelflips,Heelflip,Double|Frontside,frontside double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
179,frontside 360 heelflip,Regular,2,198,Heelflips,Heelflip,Frontside|360,frontside 360 heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
180,ollie crossfoot,Regular,2,201,Ollie / Spins,None,Crossfoot,ollie crossfoot,https://www.youtube.com/watch?v=mN6_vgbRD7Y
181,frontside impossible bigspin,Regular,2,204,Impossible,None,Frontside,frontside impossible bigspin,https://www.youtube.com/watch?v=mN6_vgbRD7Y
182,forward heelflip,Regular,2,207,Forward / Dolphin,Forward,,forward heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
183,fakie forward heelflip,Fakie,2,212,Forward / Dolphin,Forward,,forward heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
184,pressure hardflip,Regular,2,215,Kickflips,Hardflip,Pressure,pressure hardflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
185,360 pressure hardflip,Regular,2,217,Kickflips,Hardflip,Pressure|360,360 pressure hardflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
186,frontside bigspin pressure hardflip,Regular,2,221,Shuv-its,Bigspin,Pressure|Frontside,frontside bigspin pressure hardflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
187,fakie pressure hardflip,Fakie,2,224,Kickflips,Hardflip,Pressure,pressure hardflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
188,backside gazelle spin,Regular,2,226,Shuv-its,Gazelle,Backside|Body Varial,backside gazelle spin,https://www.youtube.com/watch?v=mN6_vgbRD7Y
189,switch inward double heelflip,Switch,2,231,Heelflips,Inward Heel,Double,inward double heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
190,feather flip frontside shuv,Regular,2,233,Feather,None,Frontside,feather flip frontside shuv,https://www.youtube.com/watch?v=mN6_vgbRD7Y
191,heelflip backside body varial,Regular,2,235,Heelflips,Heelflip,Body Varial|Backside,heelflip backside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
192,heelflip frontside body varial,Regular,2,237,Heelflips,Heelflip,Body Varial|Frontside,heelflip frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
193,fakie heelflip backside body varial,Fakie,2,239,Heelflips,Heelflip,Body Varial|Backside,heelflip backside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
194,fakie heelflip frontside body varial,Fakie,2,241,Heelflips,Heelflip,Body Varial|Frontside,heelflip frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
195,fakie 360 inward heelflip,Fakie,2,247,Heelflips,Inward Heel,360,360 inward heelflip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
196,nollie heelflip backside body varial,Nollie,2,252,Heelflips,Heelflip,Body Varial|Backside,heelflip backside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
197,nollie heelflip frontside body varial,Nollie,2,255,Heelflips,Heelflip,Body Varial|Frontside,heelflip frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
198,switch heelflip frontside body varial,Switch,2,256,Heelflips,Heelflip,Body Varial|Frontside,heelflip frontside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
199,switch heelflip backside body varial,Switch,2,259,Heelflips,Heelflip,Body Varial|Backside,heelflip backside body varial,https://www.youtube.com/watch?v=mN6_vgbRD7Y
200,varial half flip anti casper flip,Regular,2,261,Kickflips,Varial Flip,Anti|Half,varial half flip anti casper flip,https://www.youtube.com/watch?v=mN6_vgbRD7Y
201,frontside gazelle spin,Regular,3,1.8,Shuv-its,Gazelle,Frontside|Body Varial,frontside gazelle spin,https://www.youtube.com/watch?v=N4sgk0PLhQ0
202,fakie frontside gazelle spin,Fakie,3,4.5,Shuv-its,Gazelle,Frontside|Body Varial,frontside gazelle spin,https://www.youtube.com/watch?v=N4sgk0PLhQ0
203,nollie frontside biggerspin,Nollie,3,7,Shuv-its,Biggerspin,Frontside,frontside biggerspin,https://www.youtube.com/watch?v=N4sgk0PLhQ0
204,nollie frontside 540 shuv,Nollie,3,8.9,Shuv-its,Shuv-it,Frontside|540,frontside 540 shuv,https://www.youtube.com/watch?v=N4sgk0PLhQ0
205,nollie backside 360 shuv underflip,Nollie,3,11.4,Shuv-its,Shuv-it,Backside|360|Underflip,backside 360 shuv underflip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
206,nollie backside biggerspin underflip,Nollie,3,16.6,Shuv-its,Biggerspin,Backside|Underflip,backside biggerspin underflip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
207,nollie backside 180 hospital heel,Nollie,3,21.3,Casper / Hospital,Hospital,Backside|180,backside 180 hospital heel,https://www.youtube.com/watch?v=N4sgk0PLhQ0
208,switch backside biggerspin,Switch,3,24.2,Shuv-its,Biggerspin,Backside,backside biggerspin,https://www.youtube.com/watch?v=N4sgk0PLhQ0
209,switch pressure hardflip,Switch,3,26.7,Kickflips,Hardflip,Pressure,pressure hardflip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
210,switch pressure frontside flip,Switch,3,28.5,Kickflips,Kickflip,Pressure|Frontside,pressure frontside flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
211,switch frontside shuv late front foot heelflip,Switch,3,30.6,Shuv-its,Shuv-it,Late|Front Foot|Frontside,frontside shuv late front foot heelflip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
212,fakie ollie crossfoot,Fakie,3,36.4,Ollie / Spins,None,Crossfoot,ollie crossfoot,https://www.youtube.com/watch?v=N4sgk0PLhQ0
213,impossible crossfoot,Regular,3,39.1,Impossible,None,Crossfoot,impossible crossfoot,https://www.youtube.com/watch?v=N4sgk0PLhQ0
214,pressure flip anti casper flip,Regular,3,41.1,Kickflips,Kickflip,Pressure|Anti,pressure flip anti casper flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
215,frontside shuv late front foot heelflip,Regular,3,47.4,Shuv-its,Shuv-it,Late|Front Foot|Frontside,frontside shuv late front foot heelflip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
216,switch hard double flip,Switch,3,62.6,Kickflips,Hardflip,Double,hard double flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
217,triple heelflip,Regular,3,69.3,Heelflips,Heelflip,Triple,triple heelflip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
218,ollie frontside body varial,Regular,3,74.3,Ollie / Spins,None,Body Varial|Frontside,ollie frontside body varial,https://www.youtube.com/watch?v=N4sgk0PLhQ0
219,ollie backside body varial,Regular,3,75.8,Ollie / Spins,None,Body Varial|Backside,ollie backside body varial,https://www.youtube.com/watch?v=N4sgk0PLhQ0
220,fakie ollie backside body varial,Fakie,3,77.8,Ollie / Spins,None,Body Varial|Backside,ollie backside body varial,https://www.youtube.com/watch?v=N4sgk0PLhQ0
221,fakie ollie frontside body varial,Fakie,3,79.5,Ollie / Spins,None,Body Varial|Frontside,ollie frontside body varial,https://www.youtube.com/watch?v=N4sgk0PLhQ0
222,switch frontside bigspin flip,Switch,3,81.7,Kickflips,Bigflip,Frontside,frontside bigspin flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
223,hardflip backside 180,Regular,3,86.6,Kickflips,Hardflip,Backside|180,hardflip backside 180,https://www.youtube.com/watch?v=N4sgk0PLhQ0
224,fakie hardflip backside 180,Fakie,3,88.6,Kickflips,Hardflip,Backside|180,hardflip backside 180,https://www.youtube.com/watch?v=N4sgk0PLhQ0
225,hardflip late shuv,Regular,3,91,Kickflips,Hardflip,Late,hardflip late shuv,https://www.youtube.com/watch?v=N4sgk0PLhQ0
226,fakie triple heelflip,Fakie,3,95.8,Heelflips,Heelflip,Triple,triple heelflip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
227,switch late flip,Switch,3,98.3,Kickflips,Kickflip,Late,late flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
228,nollie late flip,Nollie,3,100.9,Kickflips,Kickflip,Late,late flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
229,varial half flip cancel flip,Regular,3,102.8,Kickflips,Varial Flip,Late|Cancel|Half,varial half flip cancel flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
230,fakie 360 pressure flip,Fakie,3,104.5,Kickflips,Kickflip,Pressure|360,360 pressure flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
231,fakie bigspin pressure flip,Fakie,3,106.8,Kickflips,Bigflip,Pressure,bigspin pressure flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
232,fakie pressure flip rewind,Fakie,3,109.1,Kickflips,Kickflip,Pressure|Rewind,pressure flip rewind,https://www.youtube.com/watch?v=N4sgk0PLhQ0
233,late hardflip,Regular,3,111.3,Kickflips,Hardflip,Late,late hardflip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
234,fakie hardflip late shuv,Fakie,3,116.8,Kickflips,Hardflip,Late,hardflip late shuv,https://www.youtube.com/watch?v=N4sgk0PLhQ0
235,frontside late flip,Regular,3,119.7,Kickflips,Kickflip,Late|Frontside,frontside late flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
236,front foot impossible,Regular,3,124.4,Impossible,None,Front Foot,front foot impossible,https://www.youtube.com/watch?v=N4sgk0PLhQ0
237,fakie front foot impossible,Fakie,3,128.7,Impossible,None,Front Foot,front foot impossible,https://www.youtube.com/watch?v=N4sgk0PLhQ0
238,fakie frontside 180 front foot impossible,Fakie,3,131.4,Impossible,None,Front Foot|Frontside|180,frontside 180 front foot impossible,https://www.youtube.com/watch?v=N4sgk0PLhQ0
239,switch front foot impossible,Switch,3,133.9,Impossible,None,Front Foot,front foot impossible,https://www.youtube.com/watch?v=N4sgk0PLhQ0
240,nollie front foot impossible,Nollie,3,136.9,Impossible,None,Front Foot,front foot impossible,https://www.youtube.com/watch?v=N4sgk0PLhQ0
241,nollie backside 180 front foot impossible,Nollie,3,141,Impossible,None,Front Foot|Backside|180,backside 180 front foot impossible,https://www.youtube.com/watch?v=N4sgk0PLhQ0
242,nollie backside 360 front foot impossible,Nollie,3,145.6,Impossible,None,Front Foot|Backside|360,backside 360 front foot impossible,https://www.youtube.com/watch?v=N4sgk0PLhQ0
243,pressure flip rewind,Regular,3,152.2,Kickflips,Kickflip,Pressure|Rewind,pressure flip rewind,https://www.youtube.com/watch?v=N4sgk0PLhQ0
244,pressure flip frontside body varial,Regular,3,154,Kickflips,Kickflip,Pressure|Body Varial|Frontside,pressure flip frontside body varial,https://www.youtube.com/watch?v=N4sgk0PLhQ0
245,varial heelflip backside body varial,Regular,3,155.9,Heelflips,Varial Heel,Body Varial|Backside,varial heelflip backside body varial,https://www.youtube.com/watch?v=N4sgk0PLhQ0
246,backside shuv late flip,Regular,3,157.9,Shuv-its,Shuv-it,Late|Backside,backside shuv late flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
247,frontside shuv late flip,Regular,3,160.1,Shuv-its,Shuv-it,Late|Frontside,frontside shuv late flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
248,frontside bigspin late flip,Regular,3,162.6,Shuv-its,Bigspin,Late|Frontside,frontside bigspin late flip,https://www.youtube.com/watch?v=N4sgk0PLhQ0
